movieid,id,body,interest_score_users_voted,interest_score_users_interested,category_id,category_text
tt0068646,tr0777810,"According to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000199/?ref_=tttrv_tr"">Al Pacino</a>, the tears in <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a>&#39;s eyes were real, in the hospital scene when Michael pledges himself to his father.",1476,1458,uncategorized,Uncategorized
tt0068646,tr0777777,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000080/?ref_=tttrv_tr"">Orson Welles</a> lobbied to get the part of Don Vito Corleone, even offering to lose a good deal of weight in order to get the role. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a>, a Welles fan, had to turn him down because he already had <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> in mind for the role and felt Welles wouldn&#39;t be right for it.",962,951,uncategorized,Uncategorized
tt0068646,tr2306074,"Michael&#39;s speech to Apollonia&#39;s father was originally written to be in Sicilian, as it was in the novel. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000199/?ref_=tttrv_tr"">Al Pacino</a>, however, did not speak Sicilian fluently, and could not learn such a lengthy speech. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> re-wrote the scene at the last minute to have Michael speak English, and have Fabrizio translate for him.",428,425,uncategorized,Uncategorized
tt0068646,tr1477284,"Note the attention to detail: most of the cars have wooden bumpers. Bumpers were removed by car owners during World War II, and replaced with wooden ones. The chrome ones were turned in to help with the war effort. After the war, it took several years for them to be replaced.",1425,1406,uncategorized,Uncategorized
tt0068646,tr0777773,"The scene where Sonny beats up Carlo (Connie&#39;s husband) took four days to shoot, and featured more than 700 extras. The use of the garbage can lid was improvised by <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001001/?ref_=tttrv_tr"">James Caan</a>.",1298,1280,uncategorized,Uncategorized
tt0068646,tr1477267,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000040/?ref_=tttrv_tr"">Stanley Kubrick</a> thought the film had the best cast ever and could be the best movie ever made.",1597,1573,uncategorized,Uncategorized
tt0068646,tr0758926,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> did not memorize most of his lines and read from cue cards during most of the film. As a matter of fact, Marlon, who was the father of Method acting, was famous for this; he felt that doing a cold open type reading for the cameras, and then using that very first un-practiced take, was the best way to get an authentic performance. He did the exact same thing for Superman. The set for Krypton was filled with the cards pasted here and there for Marlon as he read his lines for the first time. There is a famous production still of a scene featuring Brando, James Caan and Robert Duvall, where Duvall is wearing a cue card, with Brando&#39;s lines written on it.",1647,1621,uncategorized,Uncategorized
tt0068646,tr0777830,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> turned in an initial Director&#39;s Cut running two hours and six minutes. &quot;Paramount Pictures&quot; production chief <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0263172/?ref_=tttrv_tr"">Robert Evans</a> rejected this version, and demanded a longer cut with more scenes about the family. The final release version was nearly fifty minutes longer than Coppola&#39;s initial cut.",832,821,uncategorized,Uncategorized
tt0068646,tr2019543,"According to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0144710/?ref_=tttrv_tr"">Richard S. Castellano</a>, he defended <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0932336/?ref_=tttrv_tr"">Gordon Willis</a> during a disagreement Willis was having with <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a>. Coppola got revenge on Castellano by making him do twenty takes of the shots of Clemenza walking up four flights of stairs.",823,812,uncategorized,Uncategorized
tt0068646,tr0777800,"Don Vito Corleone&#39;s distinctive voice was based on real-life mobster <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm1388931/?ref_=tttrv_tr"">Frank Costello</a>. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> had seen him on television during the <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0444877/?ref_=tttrv_tr"">Estes Kefauver</a> hearings in 1951, and imitated his husky whisper in the film.",858,846,uncategorized,Uncategorized
tt0068646,tr2555470,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> originally planned to open the film with the wedding, immediately introducing all the characters. Then a friend pointed out how interestingly he had written the opening scene of <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0066206/?ref_=tttrv_tr"">Patton (1970)</a>. Coppola then re-wrote the opening with the Bonasera scene.",290,288,uncategorized,Uncategorized
tt0068646,tr0777867,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000199/?ref_=tttrv_tr"">Al Pacino</a>&#39;s maternal grandparents immigrated to America from Corleone, Sicily, just as Vito Corleone had.",1507,1481,uncategorized,Uncategorized
tt0068646,tr0777799,The early buzz on this movie was so positive that a sequel was planned before the film was even finished filming.,914,900,uncategorized,Uncategorized
tt0068646,tr0777811,"According to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0701374/?ref_=tttrv_tr"">Mario Puzo</a>, the character of Johnny Fontane was not based on <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000069/?ref_=tttrv_tr"">Frank Sinatra</a>. However, it was widely assumed that he was, and Sinatra was furious. He angrily confronted Puzo at a restaurant in the Upper East Side, and Puzo recalled, &quot;I do remember him saying that if it wasn&#39;t that I was so much older than he [Puzo was actually five years younger than Sinatra], he would beat the hell out of me. What hurt was that there he was, a northern Italian, threatening me, a southern Italian, with physical violence. This was roughly equivalent to Einstein pulling a knife on <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0135330/?ref_=tttrv_tr"">Al Capone</a>. It just wasn&#39;t done.&quot;",1107,1089,uncategorized,Uncategorized
tt8080122,tr5126622,"This is the second time <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0857101/?ref_=tttrv_tr"">Nigel Thatch</a> portrays Malcolm X after previously portraying him on <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt1020072/?ref_=tttrv_tr"">Selma (2014)</a>.",56,52,uncategorized,Uncategorized
tt8080122,tr4748117,"This is (sort of) a prequel to <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0765429/?ref_=tttrv_tr"">American Gangster (2007)</a> starring <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000243/?ref_=tttrv_tr"">Denzel Washington</a>. In that movie, Washington portrays Frank Lucas, who, in real life, ends up seizing control of the Harlem heroin market and all of Harlem from the &#39;retiring&#39; Bumpy Johnson portrayed by <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001845/?ref_=tttrv_tr"">Forest Whitaker</a> in this series. However, in <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0765429/?ref_=tttrv_tr"">American Gangster (2007)</a>, he was portrayed by <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0929934/?ref_=tttrv_tr"">Clarence Williams III</a> who is best known for the role of Lincoln &#39;Linc&#39; Hayes on <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0062589/?ref_=tttrv_tr"">Mod Squad (1968)</a>.",80,73,uncategorized,Uncategorized
tt8080122,tr5815126,"Creators <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0104333/?ref_=tttrv_tr"">Chris Brancato</a> and <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0248746/?ref_=tttrv_tr"">Paul Eckstein</a> had previously written and/or produced <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0119311/?ref_=tttrv_tr"">Hoodlum (1997)</a>, a film that is about &quot;Bumpy&quot; Johnson in the 1930s.",25,24,uncategorized,Uncategorized
tt8080122,tr5532742,The filming location for the church that Powell preaches at was &quot;St. Luke A.M.E. Church&quot; located in Harlem NY.,30,28,uncategorized,Uncategorized
tt8080122,tr5427243,"This is the second collaboration between <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0002064/?ref_=tttrv_tr"">Giancarlo Esposito</a> and <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001590/?ref_=tttrv_tr"">Chazz Palminteri</a> after appearing together on <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0114814/?ref_=tttrv_tr"">The Usual Suspects (1995)</a>.",21,15,uncategorized,Uncategorized
tt8080122,tr5418911,"This is the second collaboration between <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001845/?ref_=tttrv_tr"">Forest Whitaker</a> and <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0350079/?ref_=tttrv_tr"">Luis Guzmán</a> after previously appearing together on <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt1549920/?ref_=tttrv_tr"">The Last Stand (2013)</a>.",25,17,uncategorized,Uncategorized
tt8080122,tr6801639,The tv show&#39;s cast includes 2 oscar winners: Forest Whitaker and Whoopi Goldberg.,19,13,uncategorized,Uncategorized
tt0071562,tr0763771,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a> spent four months learning to speak the Sicilian dialect of Italian in order to play Vito Corleone. Nearly all of the dialogue that his character speaks in the film was in Sicilian.",1314,1306,uncategorized,Uncategorized
tt0071562,tr0767819,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> had a horrible time directing <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a>, and asked to pick a different director for the sequel, while taking the title of producer for himself. He chose <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000217/?ref_=tttrv_tr"">Martin Scorsese</a>, whom the executives rejected. Thus, Coppola agreed to direct the film, with a few conditions.",1088,1079,uncategorized,Uncategorized
tt0071562,tr0766196,"Originally, the actors in the flashback scenes wore pants with zippers. One of the musicians pointed out that the zipper had not been invented at that time, so some scenes had to be re-shot with button-fly trousers.",805,799,uncategorized,Uncategorized
tt0071562,tr0770388,"Hyman Roth&#39;s character is loosely based on real-life mobster <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm1178756/?ref_=tttrv_tr"">Meyer Lansky</a>. Lansky, who at the time of the film&#39;s release was living in Miami, reportedly phoned <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0833448/?ref_=tttrv_tr"">Lee Strasberg</a> and said, &quot;Now, why couldn&#39;t you have made me more sympathetic? After all, I am a grandfather.&quot;",725,719,uncategorized,Uncategorized
tt0071562,tr0770373,"The door to Vito Corleone&#39;s olive-oil business was rigged so that it would not open if a nail was inserted into the lock. Coppola kept this a secret from <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0872689/?ref_=tttrv_tr"">Leopoldo Trieste</a>, who played Signor Roberto, and his difficulty in opening the door was real. Coppola wanted to film Trieste, a known Italian comedian, improvising his way through the scene. When Genco Abbandando opens the door, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0803370/?ref_=tttrv_tr"">Frank Sivero</a> surreptitiously pulls the nail out.",836,828,uncategorized,Uncategorized
tt0071562,tr1485596,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0833448/?ref_=tttrv_tr"">Lee Strasberg</a> became ill during shooting, but instead of delaying production, Roth&#39;s character was re-written to be an ailing old man.",430,427,uncategorized,Uncategorized
tt0071562,tr0763501,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> was scheduled to return for a cameo in the flashback at the end of the film but, because of the way Paramount Pictures treated him during <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a>, he did not show up for shooting on the day the scene was filmed. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> re-wrote the scene without Vito, and it was filmed the next day.",768,760,uncategorized,Uncategorized
tt0071562,tr2028906,"In the scene in which young Vito negotiates with Signor Roberto on the street, a passerby interrupts to say hello to Vito. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm4040077/?ref_=tttrv_tr"">Carmelo Russo</a> was an extra who was supposed to just walk by, but he improvised speaking to Vito. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> did not like that Russo interrupted the scene. But <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a> liked that it showed how much people in the neighborhood respected Vito and he convinced Coppola to keep Russo&#39;s line.",983,971,uncategorized,Uncategorized
tt0071562,tr0771793,"When little Vito arrives at Ellis Island, he is marked with a circled X. Ellis Island immigrants were marked with this if the inspector believed the person had a mental/physical defect.",1033,1020,uncategorized,Uncategorized
tt0071562,tr1065026,"Though it claims to be based on the novel by <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0701374/?ref_=tttrv_tr"">Mario Puzo</a>, only the scenes about the young Vito Corleone (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a>) have any basis in the book. Only one chapter in the book is devoted to Vito&#39;s youth and young adulthood. The story revolving around Michael (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000199/?ref_=tttrv_tr"">Al Pacino</a>) and family in Las Vegas is entirely unique to the film.",732,724,uncategorized,Uncategorized
tt0071562,tr0770396,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a>, having nearly been fired several times from the first film, was given a Mercedes-Benz 600 limousine from Paramount Pictures as a reward for the record success of <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a> and an incentive to direct a sequel. He agreed on several conditions, that the sequel be interconnected with the first film with the intention of later showing them together; that he be allowed to direct his own script of <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0071360/?ref_=tttrv_tr"">The Conversation (1974)</a>; that he be allowed to direct a production for the San Francisco Opera; and that he be allowed to write the screenplay for <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0071577/?ref_=tttrv_tr"">The Great Gatsby (1974)</a>, all prior to production of the sequel for a Christmas 1974 release.",545,539,uncategorized,Uncategorized
tt0071562,tr0763756,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000732/?ref_=tttrv_tr"">Danny Aiello</a>&#39;s line, &quot;Michael Corleone says hello&quot;, was completely ad-libbed. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> loved it and asked him to do it again in the retakes. Aiello later claimed (on <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0331906/?ref_=tttrv_tr"">Gilbert Gottfried</a>&#39;s podcast) that, due to being nervous about working with Coppola, he didn&#39;t hear himself when he said the line and, to this day, has no idea why he said it.",655,647,uncategorized,Uncategorized
tt0071562,tr0768151,"A test screening of the film garnered negative reactions from the audience. They found cutting back and forth between Michael and young Vito confusing and bothersome. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> and his editors decided to decrease the frequency of the transitions in order to make the parallel stories easier to follow.",411,407,uncategorized,Uncategorized
tt0071562,tr2761907,"Production nearly ended before it began, when <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000199/?ref_=tttrv_tr"">Al Pacino</a>&#39;s lawyers told <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> that he had grave misgivings with the script, and was not coming. Coppola spent an entire night re-writing it before giving it to Pacino for his review. Pacino approved and the production went forward.",382,378,uncategorized,Uncategorized
tt0071562,tr0761962,"Originally, it was supposed to be Clemenza who agrees to testify against the Corleones. According to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a>, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0144710/?ref_=tttrv_tr"">Richard S. Castellano</a> (who was the highest paid actor in <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a>) wanted to write his own lines and wanted a large salary increase. Consequently, his character was replaced by Frankie Pentangeli (<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0311155/?ref_=tttrv_tr"">Michael V. Gazzo</a>), who received an Oscar nomination for the performance. But according to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0792132/?ref_=tttrv_tr"">Ardell Sheridan</a>, Castellano refused to regain the fifty pounds required to for the role due to health reasons, so Coppola decided to replace him rather than have a thinner Clemenza.",377,373,uncategorized,Uncategorized
tt0071562,tr0770312,"There was much debate over whether <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a> should grow a mustache for the scenes where young Vito is a few years older, but De Niro couldn&#39;t decide. In the end, De Niro tossed a coin. For the scenes where Vito returns to Sicily, he even gained weight and wore a smaller version of the dental appliance <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> wore in the first film.",557,549,uncategorized,Uncategorized
tt0071562,tr0770321,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> considered bringing <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000008/?ref_=tttrv_tr"">Marlon Brando</a> back to play Vito Corleone as a young man, convinced that he could play at any age. As he worked on the script, though, he remembered <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a>&#39;s exceptional audition for <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a> and cast him without offering the part to Brando.",732,719,uncategorized,Uncategorized
tt0071562,tr0770333,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001001/?ref_=tttrv_tr"">James Caan</a> asked that he be paid the same amount of money to play Santino &#39;Sonny&#39; Corleone at the end of the film in the flashback as he was paid to do <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a>. He got his wish.",761,747,uncategorized,Uncategorized
tt0071562,tr0766661,"In an early version of the script, an ongoing story line was Tom Hagen having an affair with Sonny Corleone&#39;s widow. This was later discarded, but the line where Michael Corleone tells Hagen that he can take his &quot;wife, children and mistress to Las Vegas&quot; was kept.",467,459,uncategorized,Uncategorized
tt0071562,tr0770330,"According to <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> in the DVD commentary, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0311155/?ref_=tttrv_tr"">Michael V. Gazzo</a> gave such a great performance as Frankie Pentangeli in the rehearsal of his testimony scene that Coppola wanted to start filming it immediately, but everyone had to break for lunch. During the break, Gazzo got drunk and was unable to perform as well as he had in rehearsal.",461,452,uncategorized,Uncategorized
tt0071562,tr1676234,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001735/?ref_=tttrv_tr"">Talia Shire</a> was only paid $1,500 for playing Connie in <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a>. For this movie, she received $30,000, with a $10,000 bonus when the box-office receipts hit $27.5 million.",441,432,uncategorized,Uncategorized
tt0071562,tr0767738,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a> is one of only eight actors (with <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000047/?ref_=tttrv_tr"">Sophia Loren</a>, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0910607/?ref_=tttrv_tr"">Christoph Waltz</a>, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000905/?ref_=tttrv_tr"">Roberto Benigni</a>, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0001125/?ref_=tttrv_tr"">Benicio Del Toro</a>, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0004851/?ref_=tttrv_tr"">Penélope Cruz</a>, <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0182839/?ref_=tttrv_tr"">Marion Cotillard</a> and <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0950926/?ref_=tttrv_tr"">Youn Yuh-jung</a>) to win an Academy Award for a role primarily in a language other than English, since almost all of his dialogue in this film is in the Sicilian dialect of Italian.",595,581,uncategorized,Uncategorized
tt0071562,tr2231196,"Though never explicitly stated in the film, Anita Colombo (the old woman evicted from her apartment that a young Vito helps out) is the grandmother of Sandra Corleone, Sonny&#39;s wife.",486,475,uncategorized,Uncategorized
tt0071562,tr0762165,"This was the first sequel to win the Academy Award for Best Picture. The second, and as of 2022 the last, was <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0167260/?ref_=tttrv_tr"">The Lord of the Rings: The Return of the King (2003)</a>. It is also the only film with a prequel storyline to be nominated for Best Picture.",763,743,uncategorized,Uncategorized
tt0071562,tr0768145,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000134/?ref_=tttrv_tr"">Robert De Niro</a> auditioned for and was almost cast in <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0068646/?ref_=tttrv_tr"">The Godfather (1972)</a> in a minor role. When <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> was casting this film, he saw <a class=""ipc-md-link ipc-md-link--entity"" href=""/title/tt0070379/?ref_=tttrv_tr"">Mean Streets (1973)</a> and knew he wanted De Niro for a major role in this sequel.",310,304,uncategorized,Uncategorized
tt0099674,tr0692835,"<a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000199/?ref_=tttrv_tr"">Al Pacino</a> was offered $5 million to reprise his role as Michael. But Pacino wanted $7 million plus a percentage of the gross. <a class=""ipc-md-link ipc-md-link--entity"" href=""/name/nm0000338/?ref_=tttrv_tr"">Francis Ford Coppola</a> refused. He threatened to rewrite the script by starting the story with Michael&#39;s funeral sequence instead of the film&#39;s introduction. Pacino agreed to the $5 million offer.",1312,1304,uncategorized,Uncategorized
