title,core_job_title,company_name,company_sector_and_industry,company_website,language_requirements,technical_tools,yearly_min_compensation,yearly_max_compensation,workplace_countries,workplace_states,workplace_cities,formatted_workplace_location,apply_url
Software Engineer,Software Engineer,Commonwealth Bank of Australia,"['Banks', 'Financial Services Companies']",commbank.com.au,['English'],"['Linux', 'SQL', 'Java', 'Jira', 'GitHub', 'GitHub Actions', 'ETL', 'AWS', 'Docker', 'Kubernetes', 'Selenium', 'Appium', 'JUnit', 'Cucumber']",,,['IN'],[],"['Bangalore, null, IN']","Bangalore, India",https://cba.wd3.myworkdayjobs.com/commbank_careers/job/Bangalore---Manyata-Tech-Park-Road/Software-Engineer_REQ229129
Staff Software Engineer,Software Engineer,Commonwealth Bank of Australia,"['Banks', 'Financial Services Companies']",commbank.com.au,['English'],"['Java', 'Typescript', 'Go', 'C#', '.NET Core', 'Ansible', 'Terraform', 'Python', 'AWS', 'EKS', 'Helm', 'Lambda']",,,['AU'],"['New South Wales, AU']","['Sydney, New South Wales, AU']","Sydney, New South Wales, Australia",https://cba.wd3.myworkdayjobs.com/commbank_careers/job/Sydney-CBD-Area/Staff-Software-Engineer_REQ230005
Software Engineer,Software Engineer,Segula Technologies,['Information Technology'],https://www.segulatechnologies.com,['English'],"['C#', 'Python', 'Java', 'MATLAB']",35000,42000,['GB'],"['England, GB']","['Hexham, England, GB']","Hexham, England, United Kingdom",https://jobs.smartrecruiters.com/SegulaTechnologies/744000045162171-software-engineer
System & Software Engineer ,System Software Engineer,Segula Technologies,['Information Technology'],https://www.segulatechnologies.com,['Italian'],"['C++', 'RedHat Enterprise', 'Windows', 'VMware', 'VirtualBox', 'Qt']",,,['IT'],"['Lazio, IT']","['Rome, Lazio, IT']","Rome, Lazio, Italy",https://jobs.smartrecruiters.com/SegulaTechnologies/744000046187746-system-software-engineer-
Embedded Software Engineer- ADAS,Embedded Software Engineer,Segula Technologies,['Information Technology'],https://www.segulatechnologies.com,"['English', 'Swedish']","['C', 'C++', 'Python', 'AUTOSAR', 'Matlab']",,,['SE'],[],"['Gothenburg, null, SE']","Gothenburg, Västra Götaland County, Sweden",https://jobs.smartrecruiters.com/SegulaTechnologies/744000046534801-embedded-software-engineer-adas
Software Development Engineer (SDE) H/F,Software Development Engineer,Segula Technologies,['Information Technology'],https://www.segulatechnologies.com,['French'],"['C#', 'Python', 'Java', 'MATLAB']",,,['FR'],"['Hauts-de-France, FR']","['Prouvy, Hauts-de-France, FR']","Prouvy, Hauts-de-France, France",https://jobs.smartrecruiters.com/SegulaTechnologies/744000046325227-software-development-engineer-sde-h-f
Software Engineer,Software Engineer,Samsara,"['Software Companies', 'Internet Of Things Companies', 'Computer Hardware Companies']",samsara.com,['English'],"['Golang', 'GraphQL', 'Typescript', 'React']",,,['PL'],[],[],Poland,https://www.samsara.com/company/careers/roles/6486317?gh_jid=6486317
Software Engineer,Software Engineer,Samsara,"['Software Companies', 'Internet Of Things Companies', 'Computer Hardware Companies']",samsara.com,['English'],"['Golang', 'GraphQL', 'Typescript', 'React']",,,['GB'],[],[],United Kingdom,https://www.samsara.com/company/careers/roles/6691599?gh_jid=6691599
Software Engineer II,Software Engineer,Samsara,"['Software Companies', 'Internet Of Things Companies', 'Computer Hardware Companies']",samsara.com,['English'],"['Golang', 'JavaScript', 'TypeScript', 'React', 'GraphQL']",,,['PL'],[],[],Poland,https://www.samsara.com/company/careers/roles/6479086?gh_jid=6479086
Software Engineer - Mobile Platform,Software Engineer,Samsara,"['Software Companies', 'Internet Of Things Companies', 'Computer Hardware Companies']",samsara.com,['English'],"['React Native', 'Typescript', 'Redux', 'Golang', 'GraphQL']",104550,135300,['CA'],[],[],Canada,https://www.samsara.com/company/careers/roles/6606879?gh_jid=6606879
Software Engineer,Software Engineer,UK Centre for Ecology & Hydrology,"['Research Institutes And Labs', 'Educational Institutions', 'Educational Organizations', 'Environmental Organizations', 'Climate Change Organizations', 'Water Organizations']",ceh.ac.uk,['English'],"['Python', 'Java', 'JavaScript', 'React', 'Vue.js', 'Container Orchestration', 'Infrastructure as Code']",37405,39694,['GB'],[],"['Lancaster, null, GB']","Lancaster, United Kingdom",https://ceh.wd3.myworkdayjobs.com/ceh_careers/job/Lancaster/Software-Engineer_JR1309
Software Engineer,Software Engineer,Danaher,"['Medical Technology Companies', 'Manufacturing Companies', 'Health Care Companies', 'Medical Organizations', 'Engine Manufacturers', 'Electronic Products Manufacturers']",danaher.com,"['Swedish', 'English']","['C#', '.NET', 'Azure DevOps']",,,['SE'],[],"['Uppsala, null, SE']","Uppsala, Sweden",https://danaher.wd1.myworkdayjobs.com/cytivajobspp/job/Uppsala-Sweden/Software-Engineer_R1284551
"Senior Software Engineer - .Net, C#, Fullstack,javascript",Senior Software Engineer,Danaher,"['Medical Technology Companies', 'Manufacturing Companies', 'Health Care Companies', 'Medical Organizations', 'Engine Manufacturers', 'Electronic Products Manufacturers']",danaher.com,['English'],"['C#', 'HTML', 'JavaScript', '.NET Core', 'React JS', 'Redux', 'Azure', 'AWS', 'WCF', 'Azure DevOps']",,,['IN'],"['Karnataka, IN']","['Bangalore, Karnataka, IN']","Bangalore, Karnataka, India",https://danaher.wd1.myworkdayjobs.com/cytivajobspp/job/Bangalore-Karnataka-India/Senior-Software-Engineer---Net--C---Fullstack-javascript_R1280981
Field Engineer II Instrument Automation (Software Automation),Field Engineer,Danaher,"['Medical Technology Companies', 'Manufacturing Companies', 'Health Care Companies', 'Medical Organizations', 'Engine Manufacturers', 'Electronic Products Manufacturers']",danaher.com,['English'],"['Salesforce.com', 'SharePoint']",,,['IN'],[],[],India,https://danaher.wd1.myworkdayjobs.com/cytivajobspp/job/IND---Bangalore-JFWTC---Cytiva/Field-Engineer-II-Instrument-Automation--Software-Automation-_R1282266
Öppen ansökan till Cytiva R&D Software,Software Developer,Danaher,"['Medical Technology Companies', 'Manufacturing Companies', 'Health Care Companies', 'Medical Organizations', 'Engine Manufacturers', 'Electronic Products Manufacturers']",danaher.com,"['Swedish', 'English']","['C#', 'C++', 'WPF', 'FlaUI', 'SpecFlow', 'Azure DevOps']",,,['SE'],[],"['Uppsala, null, SE']","Uppsala, Sweden",https://danaher.wd1.myworkdayjobs.com/cytivajobspp/job/Uppsala-Sweden/ppen-anskan-till-Cytiva-R-D-Software_R1286141
Software Engineer,Software Engineer,Smartwyre,"['Software As A Service Companies', 'Software Companies']",smartwyre.com,['English'],"['.NET Framework', 'C#', 'ASP.NET', 'Web API', 'JavaScript', 'HTML', 'CSS', 'React', 'Angular', 'SQL Server', 'MySQL', 'Entity Framework']",100000,120000,['US'],[],[],United States,https://jobs.eu.lever.co/smartwyre/02d21ab6-10ae-4261-a516-bf9e36c8080e/apply
Cloud Engineer,Cloud Engineer,Smartwyre,"['Software As A Service Companies', 'Software Companies']",smartwyre.com,['English'],"['Azure', 'Terraform', 'Docker', 'Azure DevOps', 'Python', 'PowerShell', 'Bash']",60000,70000,['GB'],[],[],United Kingdom,https://jobs.eu.lever.co/smartwyre/26384971-21cb-4a6a-8585-0d64594d35d6/apply
Software Engineer ,Software Engineer,Freetrade,['Finance'],https://freetrade.io/,['English'],"['NodeJS', 'Typescript', 'Google Cloud Platform', 'Postgresql']",,,['HU'],[],"['Budapest, null, HU']","Budapest, Hungary",https://freetrade.pinpointhq.com/en/postings/3c3f54d9-d394-4a49-a908-cf3c23ea6337
Senior Software Engineer,Senior Software Engineer,Freetrade,['Finance'],https://freetrade.io/,['English'],"['NodeJS', 'Typescript', 'Google Cloud Platform', 'Postgresql']",,,['HU'],[],"['Budapest, null, HU']","Budapest, Hungary",https://freetrade.pinpointhq.com/en/postings/835e28af-0802-430d-8d9a-fa947ce730f3
Senior Software Engineer ,Senior Software Engineer,Freetrade,['Finance'],https://freetrade.io/,['English'],"['Google Cloud Platform', 'Firestore', 'Google Kubernetes Engine', 'PubSub', 'Cloud SQL', 'Typescript']",75000,107000,['GB'],[],"['London, null, GB']","London, United Kingdom",https://freetrade.pinpointhq.com/en/postings/efc88239-b211-4c18-85ec-50339d4459ae
iOS Mobile Engineer,iOS Mobile Engineer,Freetrade,['Finance'],https://freetrade.io/,['English'],"['Swift', 'UIKit', 'SwiftUI', 'APIs', 'Git', 'CircleCI']",,,['HU'],[],"['Budapest, null, HU']","Budapest, Hungary",https://freetrade.pinpointhq.com/en/postings/88a0b0ff-fc1e-4bb2-8af6-b9035b0df1bd
Software Engineer,Software Engineer,Cadence Design Systems,"['Software Companies', 'Electronic Products Manufacturers', 'Manufacturing Companies', 'Design Companies']",cadence.com,['English'],[],,,['GB'],[],"['Cambridge, null, GB']","Cambridge, United Kingdom",https://cadence.wd1.myworkdayjobs.com/external_careers/job/CAMBRIDGE/Software-Engineer_R48536
Principal Software Engineer,Software Engineer,Cadence Design Systems,"['Software Companies', 'Electronic Products Manufacturers', 'Manufacturing Companies', 'Design Companies']",cadence.com,['English'],[],,,['GB'],[],"['Cambridge, null, GB']","Cambridge, United Kingdom",https://cadence.wd1.myworkdayjobs.com/external_careers/job/CAMBRIDGE/Principal-Software-Engineer_R48765
Software Engineer II,Software Engineer,Cadence Design Systems,"['Software Companies', 'Electronic Products Manufacturers', 'Manufacturing Companies', 'Design Companies']",cadence.com,['English'],"['Java', 'C/C++', 'shell script', 'Tcl script', 'UNIX', 'Windows']",,,['TW'],[],"['Hsinchu, null, TW']","Hsinchu, Taiwan",https://cadence.wd1.myworkdayjobs.com/external_careers/job/HSINCHU-05/Software-Engineer-II_R49041
Sr Principal Software Engineer,Software Engineer,Cadence Design Systems,"['Software Companies', 'Electronic Products Manufacturers', 'Manufacturing Companies', 'Design Companies']",cadence.com,['English'],"['C++', 'Unix', 'Tcl']",,,['IN'],[],"['Noida, null, IN']","Noida, India",https://cadence.wd1.myworkdayjobs.com/external_careers/job/NOIDA/Sr-Principal-Software-Engineer_R48084
"Engineer, Software",Software Engineer,Standard Bank Group,['Finance'],https://www.standardbank.com,['English'],"['Agile Engineering', 'API Engineering', 'Automation', 'Cloud Computing', 'Continuous Delivery', 'Continuous Deployment', 'Continuous Integration', 'Data Engineering', 'Design Thinking']",,,['ZA'],"['GP, ZA']","['Johannesburg, GP, ZA']","Johannesburg, GP, South Africa",https://jobs.smartrecruiters.com/StandardBankGroup/744000046574835-engineer-software
"Engineer, Software",Software Engineer,Standard Bank Group,['Finance'],https://www.standardbank.com,['English'],"['Agile Engineering', 'API Engineering', 'Automation', 'Cloud Computing', 'Continuous Deployment', 'Continuous Integration', 'Data Engineering', 'Design Thinking']",,,['ZA'],"['Gauteng, ZA']","['Johannesburg, Gauteng, ZA']","Johannesburg, Gauteng, South Africa",https://jobs.smartrecruiters.com/StandardBankGroup/744000046573922-engineer-software
"Engineer, Software",Software Engineer,Standard Bank Group,['Finance'],https://www.standardbank.com,['English'],"['AWS', 'Azure', 'Microsoft .NET Framework', 'C#', 'Java', 'Microsoft SQL Server']",,,['ZA'],"['GP, ZA']","['Johannesburg, GP, ZA']","Johannesburg, GP, South Africa",https://jobs.smartrecruiters.com/StandardBankGroup/744000044672495-engineer-software
"Engineer, Software",Software Engineer,Standard Bank Group,['Finance'],https://www.standardbank.com,['English'],"['Oracle Database', 'PL/SQL', 'SQL', 'Python']",,,['ZA'],"['Gauteng, ZA']","['Johannesburg, Gauteng, ZA']","Johannesburg, Gauteng, South Africa",https://jobs.smartrecruiters.com/StandardBankGroup/744000044485318-engineer-software
Software Engineer,Software Engineer,AMERICAN SYSTEMS,['Information Technology'],https://www.americansystems.com,['English'],"['C/C++', 'JAVA', 'Java Native Interface (JNI)', 'Database Connectivity (JDBC)', 'Oracle Pro *C', 'Structured Query Language (SQL)', 'Visual Basic', 'Azure DevOps']",,,['US'],"['Virginia, US']","['Fredericksburg, Virginia, US']","Fredericksburg, Virginia, United States",https://careers-americansystems.icims.com/jobs/1987/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe
Software Engineer,Software Engineer,AMERICAN SYSTEMS,['Information Technology'],https://www.americansystems.com,['English'],"['C', 'Kotlin', 'Java', 'Android Development', 'Desktop Development', 'Oscilloscope', 'Logic Analyzers', 'TCP/IP', 'Socket Programming']",91600,153000,['US'],"['Virginia, US']","['Dahlgren, Virginia, US']","Dahlgren, Virginia, United States",https://careers-americansystems.icims.com/jobs/2185/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe
NAVAIR Software Engineer,Software Engineer,AMERICAN SYSTEMS,['Information Technology'],https://www.americansystems.com,['English'],"['Embedded coding languages', 'MIL-STD-1553', 'ARINC-429', 'Ethernet', 'Serial communication protocols']",91600,153000,['US'],"['Maryland, US']","['Patuxent, Maryland, US']","Patuxent, Maryland, United States",https://careers-americansystems.icims.com/jobs/2178/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe
NAVAIR Software Engineer/ Scrum Master,Software Engineer,AMERICAN SYSTEMS,['Information Technology'],https://www.americansystems.com,['English'],[],80100,168400,['US'],"['Maryland, US']","['Patuxent, Maryland, US']","Patuxent, Maryland, United States",https://careers-americansystems.icims.com/jobs/2214/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe
Software Engineer,Software Engineer,OutSystems,"['Software Companies', 'Computer Hardware Companies', 'Cloud Computing Providers', 'Software As A Service Companies']",outsystems.com,['English'],[],,,['PT'],[],[],Portugal,https://outsystems.wd5.myworkdayjobs.com/outsystems/job/Portugal---Remote/Software-Engineer_R658
Principal Software Engineer,Principal Software Engineer,OutSystems,"['Software Companies', 'Computer Hardware Companies', 'Cloud Computing Providers', 'Software As A Service Companies']",outsystems.com,['English'],"['C#', '.NET', 'React', 'Javascript', 'TypeScript', 'CSS']",,,['US'],[],[],United States,https://outsystems.wd5.myworkdayjobs.com/outsystems/job/US---Remote/Principal-Software-Engineer_R473
Senior Software Engineer,Senior Software Engineer,OutSystems,"['Software Companies', 'Computer Hardware Companies', 'Cloud Computing Providers', 'Software As A Service Companies']",outsystems.com,['English'],"['C#', '.NET', 'REST APIs', 'AWS', 'Kubernetes']",,,['PT'],[],"['Lisbon, null, PT']","Lisbon, Portugal",https://outsystems.wd5.myworkdayjobs.com/outsystems/job/Portugal---Lisbon/Senior-Software-Engineer_R644
Lead Software Engineer,Lead Software Engineer,OutSystems,"['Software Companies', 'Computer Hardware Companies', 'Cloud Computing Providers', 'Software As A Service Companies']",outsystems.com,['English'],"['Kafka Streams', 'Apache Spark', 'Apache Flink', 'Java', 'Scala', 'Python', 'C#', 'Go', 'Node', 'Spring Boot']",,,['IN'],"['Karnataka, IN']","['Bangalore, Karnataka, IN']","Bangalore, Karnataka, India",https://outsystems.wd5.myworkdayjobs.com/outsystems/job/India---Bangalore/Lead-Software-Engineer_R659-1
Software Engineer,Software Engineer,Equifax,"['Financial Data Vendors', 'Financial Services Companies', 'Software Companies', 'Data Providers']",equifax.com,['English'],"['Java', 'Python', 'JavaScript', 'Maven', 'Gradle', 'HTML', 'CSS', 'GCP', 'AWS', 'Azure', 'SQL Server', 'MySQL', 'JUnit', 'Selenium', 'LoadRunner', 'SoapUI']",,,['IN'],[],"['Pune, null, IN']","Pune, India",https://equifax.wd5.myworkdayjobs.com/external/job/IND-Pune-Equifax-Analytics-PTEC/Software-Engineer_J00164226
Software Engineer,Software Engineer,Equifax,"['Financial Data Vendors', 'Financial Services Companies', 'Software Companies', 'Data Providers']",equifax.com,['English'],"['Java', 'SpringBoot', 'TypeScript', 'JavaScript', 'HTML', 'CSS', 'GCP', 'AWS', 'Azure', 'Jenkins', 'Terraform', 'Helm', 'SQL Server', 'MySQL', 'JIRA', 'Confluence', 'Git', 'Maven', 'Gradle', 'JUnit', 'Selenium', 'LoadRunner', 'SoapUI']",,,['IN'],"['Kerala, IN']","['Trivandrum, Kerala, IN']","Trivandrum, Kerala, India",https://equifax.wd5.myworkdayjobs.com/external/job/IND-Trivandrum-Equifax-Analytics-PTEC/Software-Engineer_J00163244
Software Engineer,Software Engineer,Equifax,"['Financial Data Vendors', 'Financial Services Companies', 'Software Companies', 'Data Providers']",equifax.com,['English'],"['Java', 'SpringBoot', 'TypeScript', 'JavaScript', 'HTML', 'CSS', 'GCP', 'AWS', 'Azure', 'Jenkins', 'Terraform', 'Kubernetes', 'SQL Server', 'MySQL', 'JIRA', 'Confluence', 'JUnit', 'Selenium']",,,['IN'],[],"['Trivandrum, null, IN']","Trivandrum, India",https://equifax.wd5.myworkdayjobs.com/external/job/IND-Trivandrum-Equifax-Analytics-PTEC/Software-Engineer_J00163547
Software Engineer,Software Engineer,Equifax,"['Financial Data Vendors', 'Financial Services Companies', 'Software Companies', 'Data Providers']",equifax.com,['English'],"['Java', 'SpringBoot', 'TypeScript', 'JavaScript', 'HTML', 'CSS', 'GCP', 'AWS', 'Azure', 'Kubernetes', 'Jenkins', 'Terraform', 'SQL Server', 'MySQL', 'JIRA', 'Confluence', 'JUnit', 'Selenium']",,,['US'],"['Kentucky, US', 'Georgia, US', 'Missouri, US']","['Louisville, Kentucky, US', 'Alpharetta, Georgia, US', 'St. Louis, Missouri, US']",Louisville or Alpharetta or St. Louis,https://equifax.wd5.myworkdayjobs.com/external/job/USA-KY-Louisville/Software-Engineer_J00164102
Software Engineer,Software Engineer,Bank of America,"['Banks', 'Financial Services Companies', 'Investment Companies', 'Brokerage Firms']",bankofamerica.com,['English'],"['Python', 'Java', 'JavaScript', 'C#', 'GoLang', 'Django', 'FastAPI', 'Git', 'Jira', 'Jenkins', 'Terraform', 'Ansible', 'Chef']",,,['US'],"['Georgia, US', 'Texas, US', 'Arizona, US']","['Atlanta, Georgia, US', 'Plano, Texas, US', 'Chandler, Arizona, US']",Atlanta or Plano or Chandler,https://ghr.wd1.myworkdayjobs.com/lateral-us/job/Atlanta/Python-Developer---Automation-Engineer_24036414
Software Engineer III - Quartz Core Technology,Software Engineer,Bank of America,"['Banks', 'Financial Services Companies', 'Investment Companies', 'Brokerage Firms']",bankofamerica.com,['English'],"['C++', 'Python', 'MySQL', 'PostgreSQL', 'CouchDB', 'Hadoop', 'Apache Hive']",100700,180000,['US'],"['New York, US']","['New York, New York, US']","New York, New York, United States",https://ghr.wd1.myworkdayjobs.com/lateral-us/job/New-York/Software-Engineer-III---Quartz-Core-Technology_24048498
Software Engineer III - Quartz Security,Software Engineer,Bank of America,"['Banks', 'Financial Services Companies', 'Investment Companies', 'Brokerage Firms']",bankofamerica.com,['English'],"['Python', 'OpenSSL', 'Wireshark']",100700,180000,['US'],"['New York, US']","['New York, New York, US']","New York, New York, United States",https://ghr.wd1.myworkdayjobs.com/lateral-us/job/New-York/Software-Engineer-III---Quartz-Security_24048510
Lead Full Stack Java Engineer - Global Information Security,Lead Full Stack Engineer,Bank of America,"['Banks', 'Financial Services Companies', 'Investment Companies', 'Brokerage Firms']",bankofamerica.com,['English'],"['Java', 'Spring Frameworks', 'RESTful APIs', 'React.js', 'Angular', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'MongoDB', 'GIT', 'Maven', 'Jenkins', 'JIRA']",119000,200400,['US'],"['Illinois, US']","['Chicago, Illinois, US']","Chicago, Illinois, United States",https://ghr.wd1.myworkdayjobs.com/lateral-us/job/Chicago/Lead-Full-Stack-Java-Engineer---Global-Information-Security_25002089-2
Software Engineer,Software Engineer,Swiss IT Security,"['Security Software Companies', 'Enterprise Software Companies', 'Software Companies']",sits-group.ch,"['English', 'Dutch']","['C#', 'Azure DevOps', 'SQL', 'CI/CD tools', 'Omada Identity', 'Microsoft Entra']",,,['NL'],"['Gelderland, NL']","['Waardenburg, Gelderland, NL']","Waardenburg, Gelderland, Netherlands",https://boards.eu.greenhouse.io/swissitsecuritygroup/jobs/4554225101?gh_jid=4554225101
Lehrstelle Informatik EFZ-Plattformentwicklung (m/w/d),Apprentice Developer,Swiss IT Security,"['Security Software Companies', 'Enterprise Software Companies', 'Software Companies']",sits-group.ch,"['German', 'English']","['Java', 'C#', 'Python']",,,['CH'],"['St. Gallen, CH']","['Jona, St. Gallen, CH']","Jona, St. Gallen, Switzerland",https://boards.eu.greenhouse.io/swissitsecuritygroup/jobs/4382755101?gh_jid=4382755101
Software Engineer,Software Engineer,Traxion,"['Consumer Service Companies', 'Enterprise Software Companies', 'Security Software Companies', 'Software Companies']",traxion.com,"['English', 'Dutch']","['C#', 'Azure DevOps', 'CI/CD tools', 'SQL']",,,['NL'],"['Gelderland, NL']","['Waardenburg, Gelderland, NL']","Waardenburg, Gelderland, Netherlands",https://boards.eu.greenhouse.io/workattraxion/jobs/4540741101?gh_jid=4540741101
Software Engineer,Software Engineer,"Teleosoft, Inc.",['Information Technology'],https://www.teleosoft.com,['English'],"['C#', 'TypeScript', 'T-SQL', '.NET Framework', '.NET Core', '.NET Entity Framework', 'ASP.NET MVC', 'React', 'Windows Server', 'SQL Server', 'IIS', 'Visual Studio', 'Git', 'Azure DevOps']",,,['US'],"['Pennsylvania, US']","['York, Pennsylvania, US']","York, Pennsylvania, United States",https://jobs.smartrecruiters.com/TeleosoftInc/744000038423785-software-engineer
Software Engineering Manager,Software Engineering Manager,"Teleosoft, Inc.",['Information Technology'],https://www.teleosoft.com,['English'],"['C# .NET', 'JavaScript', 'React', 'SQL', 'Windows Server', 'SQL Server', 'IIS', 'Visual Studio', 'Git SCM', 'Azure DevOps']",,,['US'],"['Pennsylvania, US']","['York, Pennsylvania, US']","York, Pennsylvania, United States",https://jobs.smartrecruiters.com/TeleosoftInc/744000032273995-software-engineering-manager
Software Engineer Senior/Staff,Software Engineer,Woodward Governor,"['Machine Manufacturers', 'Manufacturing Companies']",woodward.com,['English'],"['Software Development Tools', 'Compilers', 'Debuggers']",130800,196200,['US'],"['Illinois, US']","['Niles, Illinois, US']","Niles, Illinois, United States",https://woodward.wd5.myworkdayjobs.com/woodward/job/Niles-IL-US/Software-Engineer-Senior-Staff_JR104456
Software Engineer (m/w/d),Software Engineer,Woodward Governor,"['Machine Manufacturers', 'Manufacturing Companies']",woodward.com,['German'],"['IEC61131', 'Python', 'C']",,,['DE'],[],"['Stuttgart, null, DE']","Stuttgart, Germany",https://woodward.wd5.myworkdayjobs.com/woodward/job/Stuttgart-DE/Senior-Engineer-Software_JR104161
